name,neg_sentences_perc,neu_sentences_perc,pos_sentences_perc,avg_neg,avg_neu,avg_pos,avg_comp
The Voyage Out,23.964454636663323,40.318188333094454,35.717357030242226,0.05675003583201945,0.8628652716067078,0.08037723950121811,0.07766866848215563
Night and Day,26.11236551998937,33.55027228051534,40.33736219949528,0.062205073714968695,0.8501294992694929,0.08766303625979556,0.09450782308407404
Monday or Tuesday,21.792618629173987,47.27592267135325,30.931458699472756,0.06949033391915649,0.8380070298769763,0.09250966608084364,0.05396142355008786
Jacob's Room,21.629542790152406,50.293083235638925,28.077373974208676,0.05843786635404447,0.8708766119577962,0.07068171160609618,0.04330577373974207
Mrs Dalloway,22.769064359113035,45.0784207679827,32.15251487290428,0.07101216873985937,0.8365100054083278,0.09248377501352092,0.07255538128718243
To the Lighthouse,24.18988061398522,42.950540079590674,32.8595793064241,0.06253553155201819,0.855915008527571,0.08155031267765768,0.06227927799886299
Orlando,25.871667154995603,38.2654556108995,35.86287723410489,0.06332112510987403,0.8532595956636386,0.08341517726340465,0.07198318195136252
The Waves,24.701348747591524,48.72832369942196,26.570327552986512,0.06833969171483611,0.8656763005780334,0.06598420038535642,0.01651524084778409
Flush,29.468822170900694,47.06697459584296,23.464203233256352,0.07605542725173202,0.8656438799076207,0.058297921478060025,-0.00847727482678984
The Years,15.456293447714835,64.3174086673569,20.226297884928265,0.04648151161070846,0.8924179855051018,0.06110065079130301,0.03430085046590756
Between the Acts,14.162473040977714,67.86484543493889,17.97268152408339,0.044493170381020845,0.9030481667864828,0.0524572250179727,0.03115095255212086
